ID	GeneID	geneSymbol	chr	strand	riExonStart_0base	riExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
10017	"ENSG00000105655.14"	"ISYNA1"	chr19	-	18548408	18548798	18548408	18548570	18548669	18548798	10017	62,41	0,2	67,38	79,50	197	99	0.0	0.0	1.0,0.912	0.299,0.276	0.668
10304	"ENSG00000140988.11"	"RPS2"	chr16	-	2012736	2013257	2012736	2012910	2013149	2013257	10304	364,475	6915,5667	143,74	6542,5035	197	99	0.0	0.0	0.026,0.04	0.011,0.007	0.024
11949	"ENSG00000148303.12"	"RPL7A"	chr9	+	136217094	136217582	136217094	136217174	136217451	136217582	11949	331,612	6516,4749	187,130	6531,4841	197	99	0.0	0.0	0.025,0.061	0.014,0.013	0.029
12500	"ENSG00000063177.8"	"RPL18"	chr19	-	49118587	49119203	49118587	49118704	49119133	49119203	12500	177,285	2078,2837	52,23	2346,1623	197	99	0.0	0.0	0.041,0.048	0.011,0.007	0.035
12696	"ENSG00000198830.6"	"HMGN2"	chr1	+	26799973	26800626	26799973	26800018	26800193	26800626	12696	401,301	1289,1190	197,140	1874,1728	197	99	0.0	0.0	0.135,0.113	0.05,0.039	0.08
1581	"ENSG00000233927.4"	"RPS28"	chr19	+	8386539	8386975	8386539	8386587	8386836	8386975	1581	194,356	3680,5555	74,38	3757,2860	197	99	0.0	0.0	0.026,0.031	0.01,0.007	0.02
1968	"ENSG00000135486.13"	"HNRNPA1"	chr12	+	54675169	54675725	54675169	54675286	54675578	54675725	1968	302,297	6746,4968	107,82	6614,5722	197	99	0.0	0.0	0.022,0.029	0.008,0.007	0.018
2466	"ENSG00000112514.11"	"CUTA"	chr6	-	33384882	33385087	33384882	33384919	33385027	33385087	2466	151,87	752,393	7,10	307,347	197	99	0.0	0.0	0.092,0.1	0.011,0.014	0.084
3306	"ENSG00000105193.4"	"RPS16"	chr19	-	39924304	39926348	39924304	39924401	39926246	39926348	3306	229,400	4127,4404	85,45	3800,2797	197	99	0.0	0.0	0.027,0.044	0.011,0.008	0.026
3521	"ENSG00000108654.7"	"DDX5"	chr17	-	62499212	62499418	62499212	62499216	62499305	62499418	3521	186,72	565,447	18,23	434,512	187	99	0.0	0.0	0.148,0.079	0.021,0.023	0.091
3979	"ENSG00000100836.6"	"PABPN1"	chr14	+	23793229	23793426	23793229	23793261	23793346	23793426	3979	183,83	738,513	6,9	332,392	183	99	0.0	0.0	0.118,0.08	0.01,0.012	0.088
4849	"ENSG00000170144.14"	"HNRNPA3"	chr2	+	178081253	178081463	178081253	178081320	178081403	178081463	4849	367,203	1281,622	11,13	343,283	181	99	0.0	0.0	0.135,0.151	0.017,0.025	0.122
5162	"ENSG00000161960.10"	"EIF4A1"	chr17	+	7480886	7481562	7480886	7481024	7481144	7481562	5162	100,281	1990,2198	35,27	2268,2051	197	99	0.0	0.0	0.025,0.06	0.008,0.007	0.035
5165	"ENSG00000161960.10"	"EIF4A1"	chr17	+	7477577	7477996	7477577	7477626	7477863	7477996	5165	60,134	670,840	14,11	694,637	197	99	0.0	0.0	0.043,0.074	0.01,0.009	0.049
5267	"ENSG00000167792.7"	"NDUFV1"	chr11	+	67375831	67376077	67375831	67375949	67376022	67376077	5267	200,120	453,186	13,16	177,206	171	99	0.0	0.0	0.204,0.272	0.041,0.043	0.196
5276	"ENSG00000075624.9"	"ACTB"	chr7	-	5567634	5568350	5567634	5567816	5567911	5568350	5276	122,190	3809,1883	31,25	2724,2034	193	99	0.0	0.0	0.016,0.049	0.006,0.006	0.027
5278	"ENSG00000075624.9"	"ACTB"	chr7	-	5567911	5569031	5567911	5568350	5568791	5569031	5278	367,302	4743,2045	92,62	3208,2409	197	99	0.0	0.0	0.037,0.069	0.014,0.013	0.04
5280	"ENSG00000075624.9"	"ACTB"	chr7	-	5568791	5569294	5568791	5569031	5569165	5569294	5280	194,164	2004,985	32,23	1258,942	197	99	0.0	0.0	0.046,0.077	0.013,0.012	0.049
6223	"ENSG00000104824.12"	"HNRNPL"	chr19	-	39334496	39334737	39334496	39334554	39334647	39334737	6223	226,96	1390,722	1,1	265,303	191	99	0.0	0.0	0.078,0.064	0.002,0.002	0.069
6477	"ENSG00000167978.12"	"SRRM2"	chr16	+	2808940	2809173	2808940	2809048	2809140	2809173	6477	204,102	534,286	4,6	209,246	190	99	0.0	0.0	0.166,0.157	0.01,0.013	0.15
7444	"ENSG00000255717.2"	"SNHG1"	chr11	-	62621551	62622023	62621551	62621561	62621990	62622023	7444	190,108	148,81	46,49	0,0	197	99	0.0	0.0	0.392,0.401	1.0,1.0	-0.603
7472	"ENSG00000159377.6"	"PSMB4"	chr1	+	151373714	151374106	151373714	151373831	151374017	151374106	7472	169,244	641,542	75,45	754,609	197	99	0.0	0.0	0.117,0.184	0.048,0.036	0.108
8400	"ENSG00000099901.12"	"RANBP1"	chr22	+	20113825	20114704	20113825	20113891	20114474	20114704	8400	264,414	1451,1265	173,113	1881,1723	197	99	0.0	0.0	0.084,0.141	0.044,0.032	0.074
8632	"ENSG00000234741.3"	"GAS5"	chr1	-	173834994	173835344	173834994	173835050	173835314	173835344	8632	702,353	253,126	149,150	0,0	197	99	0.0	0.0	0.582,0.585	1.0,1.0	-0.417
8770	"ENSG00000198755.6"	"RPL10A"	chr6	+	35436723	35437306	35436723	35436804	35437157	35437306	8770	582,803	3408,2219	302,202	3571,2830	197	99	0.0	0.0	0.079,0.154	0.041,0.035	0.078
9358	"ENSG00000104904.8"	"OAZ1"	chr19	+	2271383	2271953	2271383	2271529	2271780	2271953	9358	540,636	1626,1852	208,116	1938,1561	197	99	0.0	0.0	0.143,0.147	0.051,0.036	0.101
3485	"ENSG00000132507.13"	"EIF5A"	chr17	+	7214668	7214970	7214668	7214800	7214896	7214970	3485	72,114	1213,1069	19,14	1090,1104	194	99	1.11022302463e-16	3.40798817739e-14	0.029,0.052	0.009,0.006	0.033
5179	"ENSG00000161960.10"	"EIF4A1"	chr17	+	7481144	7481562	7481144	7481234	7481482	7481562	5179	267,400	1369,1860	135,93	1713,1508	197	99	1.11022302463e-16	3.40798817739e-14	0.089,0.098	0.038,0.03	0.059
10431	"ENSG00000164032.7"	"H2AFZ"	chr4	-	100869244	100870097	100869244	100869680	100869967	100870097	10431	69,136	1047,902	34,17	1171,958	197	99	3.33066907388e-16	9.87141403103e-14	0.032,0.07	0.014,0.009	0.04
101	"ENSG00000110321.11"	"EIF4G2"	chr11	-	10825833	10826562	10825833	10825965	10826459	10826562	101	166,151	799,652	50,31	750,591	197	99	7.77156117238e-16	2.22655227589e-13	0.095,0.104	0.032,0.026	0.071
3254	"ENSG00000118181.6"	"RPS25"	chr11	-	118886435	118886678	118886435	118886468	118886550	118886678	3254	622,249	1027,529	3,2	79,64	180	99	1.33226762955e-15	3.69381944387e-13	0.25,0.206	0.02,0.017	0.209
6039	"ENSG00000184009.5"	"ACTG1"	chr17	-	79477952	79478652	79477952	79478134	79478213	79478652	6039	176,165	2062,1249	38,19	1225,839	177	99	2.77555756156e-15	7.454974138e-13	0.046,0.069	0.017,0.013	0.043
5911	"ENSG00000055118.10"	"KCNH2"	chr7	-	150648008	150648923	150648008	150648208	150648535	150648923	5911	87,120	360,524	48,27	691,514	197	99	5.44009282066e-15	1.41689690284e-12	0.108,0.103	0.034,0.026	0.075
107	"ENSG00000110321.11"	"EIF4G2"	chr11	-	10821098	10821895	10821098	10821303	10821636	10821895	107	206,276	569,502	99,67	608,491	197	99	7.66053886991e-15	1.93653916432e-12	0.154,0.216	0.076,0.064	0.115
5814	"ENSG00000116478.7"	"HDAC1"	chr1	+	32797276	32797843	32797276	32797407	32797690	32797843	5814	114,132	404,416	54,31	560,440	197	99	1.55431223448e-14	3.81694675867e-12	0.124,0.138	0.046,0.034	0.091
10207	"ENSG00000123136.10"	"DDX39A"	chr19	-	14520553	14521146	14520553	14520685	14521027	14521146	10207	227,383	154,176	104,67	189,152	197	99	1.50213175232e-13	3.58633955866e-11	0.426,0.522	0.217,0.181	0.275
10752	"ENSG00000173812.6"	"EIF1"	chr17	+	39846029	39846441	39846029	39846193	39846339	39846441	10752	331,495	2570,1787	153,114	1949,1549	197	99	1.72084568817e-13	3.99747802428e-11	0.061,0.122	0.038,0.036	0.054
11241	"ENSG00000131795.8"	"RBM8A"	chr1	+	145508015	145508611	145508015	145508284	145508474	145508611	11241	139,168	1055,1192	50,31	1012,879	197	99	3.6426417438e-13	8.23908047052e-11	0.062,0.066	0.024,0.017	0.043
2252	"ENSG00000163319.6"	"MRPS18C"	chr4	+	84382145	84382388	84382145	84382185	84382273	84382388	2252	47,20	19,18	1,2	31,52	186	99	5.9108273831e-13	1.30265541943e-10	0.568,0.372	0.017,0.02	0.451
4500	"ENSG00000011304.12"	"PTBP1"	chr19	+	804035	804438	804035	804208	804291	804438	4500	60,77	501,388	18,10	475,402	181	99	7.16982029303e-13	1.54061513546e-10	0.061,0.098	0.02,0.013	0.063
7386	"ENSG00000113013.8"	"HSPA9"	chr5	-	137892462	137893185	137892462	137892555	137893090	137893185	7386	94,247	1075,739	87,57	1403,1300	197	99	7.59392548844e-13	1.59194608715e-10	0.042,0.144	0.03,0.022	0.067
6932	"ENSG00000116688.12"	"MFN2"	chr1	+	12058826	12059065	12058826	12058935	12059044	12059065	6932	40,38	40,59	15,11	116,117	197	99	7.86926079854e-13	1.61038801342e-10	0.334,0.245	0.061,0.045	0.236
4242	"ENSG00000149923.9"	"PPP4C"	chr16	+	30094714	30095102	30094714	30094888	30094975	30095102	4242	44,85	159,238	12,5	194,144	185	99	8.18567436056e-13	1.63618304951e-10	0.129,0.16	0.032,0.018	0.12
2941	"ENSG00000132341.7"	"RAN"	chr12	+	131357128	131357465	131357128	131357174	131357380	131357465	2941	68,90	725,649	24,21	795,748	197	99	1.04405373236e-12	2.03946405219e-10	0.045,0.065	0.015,0.014	0.041
4766	"ENSG00000147403.12"	"RPL10"	chrX	+	153628936	153629152	153628936	153628967	153629042	153629152	4766	1183,624	9862,5615	17,16	580,524	173	99	1.07447384323e-12	2.05224504057e-10	0.064,0.06	0.016,0.017	0.045
3526	"ENSG00000108654.7"	"DDX5"	chr17	-	62498279	62498667	62498279	62498341	62498556	62498667	3526	348,372	370,592	156,110	494,460	197	99	1.42652556434e-12	2.66543200554e-10	0.321,0.24	0.137,0.107	0.158
12799	"ENSG00000130726.7"	"TRIM28"	chr19	+	59061103	59061402	59061103	59061227	59061315	59061402	12799	58,107	1339,1430	14,9	1185,886	186	99	2.04480876675e-12	3.73938964898e-10	0.023,0.038	0.006,0.005	0.025
9591	"ENSG00000111229.11"	"ARPC3"	chr12	-	110873914	110874488	110873914	110874009	110874361	110874488	9591	70,83	1047,881	22,13	1061,758	197	99	3.77664566287e-12	6.76255614008e-10	0.033,0.045	0.01,0.009	0.029
120	"ENSG00000110321.11"	"EIF4G2"	chr11	-	10825026	10825597	10825026	10825137	10825445	10825597	120	123,132	486,545	42,28	509,409	197	99	4.63540317241e-12	7.96825805337e-10	0.113,0.109	0.04,0.033	0.074
5078	"ENSG00000106263.13"	"EIF3B"	chr7	+	2405951	2406226	2405951	2406083	2406159	2406226	5078	95,72	301,258	34,22	375,314	174	99	4.61830573784e-12	7.96825805337e-10	0.152,0.137	0.049,0.038	0.101
4949	"ENSG00000070756.9"	"PABPC1"	chr8	-	101730000	101730508	101730000	101730142	101730314	101730508	4949	12,68	65,45	46,54	0,0	197	99	4.90252283214e-12	8.26219289064e-10	0.085,0.432	1.0,1.0	-0.742
9976	"ENSG00000143774.12"	"GUK1"	chr1	+	228333211	228333768	228333211	228333325	228333726	228333768	9976	304,333	549,384	137,78	503,365	197	99	6.63535892897e-12	1.09674826912e-09	0.218,0.304	0.12,0.097	0.153
11702	"ENSG00000215021.4"	"PHB2"	chr12	-	7076838	7077184	7076838	7076942	7077054	7077184	11702	103,168	712,482	60,44	784,640	197	99	7.27795601563e-12	1.18026475386e-09	0.068,0.149	0.037,0.033	0.073
4304	"ENSG00000130305.12"	"NSUN5"	chr7	-	72717226	72717737	72717226	72717526	72717596	72717737	4304	147,177	115,149	78,51	193,132	168	99	1.0031420139e-11	1.59666770546e-09	0.43,0.412	0.192,0.185	0.232
10199	"ENSG00000123136.10"	"DDX39A"	chr19	-	14520114	14520457	14520114	14520259	14520347	14520457	10199	95,150	138,182	31,18	143,106	186	99	1.09543485394e-11	1.71186592175e-09	0.268,0.305	0.103,0.083	0.193
10301	"ENSG00000140988.11"	"RPS2"	chr16	-	2012497	2012910	2012497	2012657	2012736	2012910	10301	223,363	8691,6731	97,53	7488,5613	177	99	1.33170141581e-11	2.04392386944e-09	0.014,0.029	0.007,0.005	0.016
4254	"ENSG00000102119.6"	"EMD"	chrX	+	153608301	153608727	153608301	153608379	153608593	153608727	4254	393,302	534,285	180,96	468,345	197	99	1.45210510283e-11	2.1896216419e-09	0.27,0.347	0.162,0.123	0.166
4768	"ENSG00000147403.12"	"RPL10"	chrX	+	153627678	153627935	153627678	153627737	153627827	153627935	4768	849,754	5501,5535	331,216	4688,3337	188	99	1.78795867001e-11	2.64956978771e-09	0.075,0.067	0.036,0.033	0.037
12082	"ENSG00000131143.4"	"COX4I1"	chr16	+	85838542	85839470	85838542	85838710	85839338	85839470	12082	80,126	1649,1326	51,38	2045,1740	197	99	2.17025286631e-11	3.1615802349e-09	0.024,0.046	0.012,0.011	0.024
8746	"ENSG00000079616.8"	"KIF22"	chr16	+	29809913	29810505	29809913	29810068	29810295	29810505	8746	127,139	361,499	56,32	464,375	197	99	2.4934831977e-11	3.57191468071e-09	0.15,0.123	0.057,0.041	0.088
8641	"ENSG00000167526.9"	"RPL13"	chr16	+	89627634	89628159	89627634	89627776	89627985	89628159	8641	61,185	2219,2454	34,19	2209,1481	197	99	2.64818167395e-11	3.73133139141e-09	0.014,0.037	0.008,0.006	0.018
10512	"ENSG00000117632.16"	"STMN1"	chr1	-	26227981	26230304	26227981	26228173	26230131	26230304	10512	126,169	2779,1436	77,59	2697,2161	197	99	3.13359338477e-11	4.34407018421e-09	0.022,0.056	0.014,0.014	0.025
7536	"ENSG00000166986.8"	"MARS"	chr12	+	57883049	57883341	57883049	57883128	57883206	57883341	7536	51,73	301,244	22,16	354,318	176	99	3.71673802846e-11	5.07069259597e-09	0.087,0.144	0.034,0.028	0.084
1618	"ENSG00000104979.4"	"C19orf53"	chr19	+	13885331	13885555	13885331	13885388	13885465	13885555	1618	303,127	0,213	2,1	144,200	175	99	4.28990176715e-11	5.76120401385e-09	1.0,0.252	0.008,0.003	0.621
1821	"ENSG00000149136.3"	"SSRP1"	chr11	-	57094176	57094988	57094176	57094363	57094899	57094988	1821	51,75	389,316	25,15	473,393	197	99	4.83856288369e-11	6.39806892082e-09	0.062,0.107	0.026,0.019	0.062
9907	"ENSG00000171453.13"	"POLR1C"	chr6	+	43487443	43487923	43487443	43487576	43487803	43487923	9907	119,203	203,320	61,39	261,215	197	99	5.54731816038e-11	7.22412114977e-09	0.228,0.242	0.105,0.084	0.14
12185	"ENSG00000111669.10"	"TPI1"	chr12	+	6978074	6978322	6978074	6978151	6978262	6978322	12185	0,48	266,314	4,5	561,758	197	99	6.01808602951e-11	7.72021633189e-09	0.0,0.071	0.004,0.003	0.032
7173	"ENSG00000160201.7"	"U2AF1"	chr21	-	44520562	44524512	44520562	44520629	44524424	44524512	7173	101,118	511,417	48,33	538,484	197	99	6.70050681606e-11	8.46924354177e-09	0.09,0.125	0.043,0.033	0.07
4511	"ENSG00000102317.13"	"RBM3"	chrX	+	48433948	48434807	48433948	48434055	48434701	48434807	4511	122,150	335,315	59,36	352,305	197	99	7.32415239568e-11	9.12334635375e-09	0.155,0.193	0.078,0.056	0.107
6847	"ENSG00000161179.9"	"YDJC"	chr22	-	21983298	21983696	21983298	21983476	21983596	21983696	6847	31,71	0,0	40,30	22,15	197	99	8.26566592949e-11	1.0149056952e-08	1.0,1.0	0.477,0.501	0.511
7905	"ENSG00000164611.8"	"PTTG1"	chr5	+	159849308	159849900	159849308	159849410	159849715	159849900	7905	155,156	2250,1707	49,27	1644,1087	197	99	9.37837585369e-11	1.1353118375e-08	0.033,0.044	0.015,0.012	0.025
8330	"ENSG00000089053.8"	"ANAPC5"	chr12	-	121756079	121756411	121756079	121756227	121756303	121756411	8330	132,131	301,237	67,46	355,291	174	99	1.18601017896e-10	1.41579965113e-08	0.2,0.239	0.097,0.083	0.13
12224	"ENSG00000132475.4"	"H3F3B"	chr17	-	73774890	73775265	73774890	73775044	73775127	73775265	12224	77,116	1036,999	13,9	592,421	181	99	1.91783477987e-10	2.25805341548e-08	0.039,0.06	0.012,0.012	0.038
109	"ENSG00000110321.11"	"EIF4G2"	chr11	-	10823207	10823756	10823207	10823321	10823595	10823756	109	89,78	680,610	29,17	675,533	197	99	1.97489580245e-10	2.29381478676e-08	0.062,0.06	0.021,0.016	0.042
