Gene	Ensembl_Gene_ID	Chromosome	Gene_start	Gene_end
DDX11L2	ENSG00000290825	1	11869	14409
DDX11L1	ENSG00000223972	1	12010	13670
WASH7P	ENSG00000227232	1	14404	29570
MIR6859-1	ENSG00000278267	1	17369	17436
MIR1302-2HG	ENSG00000243485	1	29554	31109
MIR1302-2	ENSG00000284332	1	30366	30503
FAM138A	ENSG00000237613	1	34554	36081
OR4G4P	ENSG00000268020	1	52473	53312
OR4G11P	ENSG00000240361	1	62949	63887
OR4F5	ENSG00000186092	1	65419	71585
CICP27	ENSG00000233750	1	131025	134836
RNU6-1100P	ENSG00000222623	1	157784	157887
DDX11L17	ENSG00000279928	1	182696	184174
WASH9P	ENSG00000279457	1	185217	195411
MIR6859-2	ENSG00000273874	1	187891	187958
RPL23AP24	ENSG00000236679	1	347982	348366
WBP1LP7	ENSG00000269732	1	439870	440232
OR4F29	ENSG00000284733	1	450740	451678
CICP7	ENSG00000233653	1	487101	489906
U6	ENSG00000278757	1	516376	516479
MTND1P23	ENSG00000225972	1	629062	629433
MTND2P28	ENSG00000225630	1	629640	630683
MTCO1P12	ENSG00000237973	1	631074	632616
MTCO2P12	ENSG00000229344	1	632757	633438
MTATP8P1	ENSG00000240409	1	633535	633741
MTATP6P1	ENSG00000248527	1	633696	634376
MTCO3P12	ENSG00000198744	1	634376	634922
WBP1LP6	ENSG00000268663	1	674842	675265
OR4F16	ENSG00000284662	1	685716	686654
CICP3	ENSG00000229376	1	722092	724903
RNU6-1199P	ENSG00000223181	1	758233	758336
LINC01409	ENSG00000237491	1	778747	810065
FAM87B	ENSG00000177757	1	817371	819837
LINC00115	ENSG00000225880	1	824228	827539
LINC01128	ENSG00000228794	1	825138	859446
FAM41C	ENSG00000230368	1	868071	876903
TUBB8P11	ENSG00000234711	1	873292	874349
LINC02593	ENSG00000223764	1	916865	921016
SAMD11	ENSG00000187634	1	923923	944575
NOC2L	ENSG00000188976	1	944203	959309
KLHL17	ENSG00000187961	1	960584	965719
PLEKHN1	ENSG00000187583	1	966482	975865
PERM1	ENSG00000187642	1	975198	982117
HES4	ENSG00000188290	1	998962	1000172
ISG15	ENSG00000187608	1	1001138	1014540
AGRN	ENSG00000188157	1	1020120	1056118
RNF223	ENSG00000237330	1	1070967	1074306
C1orf159	ENSG00000131591	1	1081818	1116361
LINC01342	ENSG00000223823	1	1137017	1144056
MIR200B	ENSG00000207730	1	1167104	1167198
MIR200A	ENSG00000207607	1	1167863	1167952
MIR429	ENSG00000198976	1	1169005	1169087
TTLL10-AS1	ENSG00000205231	1	1173056	1179555
TTLL10	ENSG00000162571	1	1173880	1197936
TNFRSF18	ENSG00000186891	1	1203508	1206592
TNFRSF4	ENSG00000186827	1	1211326	1214153
