ID	GeneID	geneSymbol	chr	strand	longExonStart_0base	longExonEnd	shortES	shortEE	flankingES	flankingEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
13326	"ENSG00000160695.10"	"VPS11"	chr11	+	118944509	118944741	118944509	118944661	118947606	118947843	13326	105,55	65,31	2,2	54,53	178	99	0.0	0.0	0.473,0.497	0.02,0.021	0.464
19141	"ENSG00000079616.8"	"KIF22"	chr16	+	29809913	29810161	29809913	29810068	29810295	29810505	19141	112,56	286,149	7,7	270,202	191	99	0.0	0.0	0.169,0.163	0.013,0.018	0.151
19216	"ENSG00000198755.6"	"RPL10A"	chr6	+	35436723	35437062	35436723	35436804	35437157	35437306	19216	337,517	3408,2219	173,107	3571,2830	197	99	0.0	0.0	0.047,0.105	0.024,0.019	0.054
21128	"ENSG00000229117.4"	"RPL41"	chr12	+	56510523	56510651	56510523	56510583	56510972	56511153	21128	1750,643	25428,10321	43,37	2434,2133	166	99	0.0	0.0	0.039,0.036	0.01,0.01	0.027
2123	"ENSG00000140983.9"	"RHOT2"	chr16	+	721081	721315	721081	721203	721696	721781	2123	123,55	180,74	2,3	58,81	197	99	0.0	0.0	0.256,0.272	0.017,0.018	0.246
23108	"ENSG00000088986.6"	"DYNLL1"	chr12	+	120933884	120934116	120933884	120934019	120934218	120934699	23108	275,116	980,531	15,19	543,587	195	99	0.0	0.0	0.125,0.1	0.014,0.016	0.098
25662	"ENSG00000114867.15"	"EIF4G1"	chr3	+	184049733	184049968	184049733	184049874	184052514	184052842	25662	230,102	404,189	3,3	76,61	192	99	6.0729199447e-14	1.52421615012e-10	0.227,0.218	0.02,0.025	0.2
20295	"ENSG00000183207.8"	"RUVBL2"	chr19	+	49517827	49518045	49517827	49517860	49518277	49518407	20295	28,15	59,56	1,1	105,107	197	99	1.53210777398e-13	3.36470018513e-10	0.193,0.119	0.005,0.005	0.151
12797	"ENSG00000109180.10"	"OCIAD1"	chr4	+	48833124	48833369	48833124	48833266	48834636	48834714	12797	44,58	42,134	19,16	194,243	197	99	9.46576150795e-13	1.63775340763e-09	0.345,0.179	0.047,0.032	0.223
17887	"ENSG00000149273.10"	"RPS3"	chr11	+	75112683	75113490	75112683	75112777	75115063	75115251	17887	5380,5854	101,163	5347,4048	40,27	197	99	1.02540198554e-12	1.63775340763e-09	0.964,0.948	0.985,0.987	-0.03
26445	"ENSG00000163660.7"	"CCNL1"	chr3	-	156867468	156867766	156867624	156867766	156867273	156867385	26445	99,47	642,589	0,0	209,218	197	99	9.26703158655e-13	1.63775340763e-09	0.072,0.039	0.0,0.0	0.055
6526	"ENSG00000000419.8"	"DPM1"	chr20	-	49562273	49562502	49562383	49562502	49558567	49558663	6526	362,164	127,55	120,106	5,4	197	99	1.12565512467e-12	1.64805290711e-09	0.589,0.6	0.923,0.93	-0.332
17824	"ENSG00000142534.2"	"RPS11"	chr19	+	50000693	50000852	50000693	50000819	50002768	50002945	17824	1387,11136	105,64	6960,11228	0,1	131	99	5.30686605771e-12	6.65973784056e-09	0.909,0.992	1.0,1.0	-0.049
20142	"ENSG00000112306.7"	"RPS12"	chr6	+	133136110	133136363	133136110	133136227	133137599	133137702	20142	789,1097	6027,6935	450,286	6066,4744	197	99	4.98334706833e-12	6.65973784056e-09	0.062,0.074	0.036,0.029	0.036
18900	"ENSG00000099917.13"	"MED15"	chr22	+	20937616	20937824	20937616	20937680	20938645	20938712	18900	137,65	480,245	1,1	80,98	197	99	7.26074755875e-12	8.50427159065e-09	0.125,0.118	0.006,0.005	0.116
2078	"ENSG00000055044.6"	"NOP58"	chr2	+	203149160	203149377	203149160	203149204	203152382	203152447	2078	18,11	32,19	0,1	51,76	197	99	1.10819131649e-11	1.21686332746e-08	0.22,0.225	0.0,0.007	0.219
21125	"ENSG00000229117.4"	"RPL41"	chr12	+	56510523	56510714	56510523	56510583	56510972	56511153	21125	665,1052	11588,12409	473,332	12569,11310	197	99	1.57263091438e-11	1.62526779616e-08	0.028,0.041	0.019,0.015	0.018
13068	"ENSG00000171490.8"	"RSL1D1"	chr16	-	11935407	11935600	11935551	11935600	11933551	11933842	13068	47,18	192,665	0,0	361,400	197	99	2.18846052391e-11	2.02363489182e-08	0.11,0.013	0.0,0.0	0.061
